"Observationsstation","År","Månad","Dag","Tid [Lokal tid]","Daggpunktstemperatur medelvärde [°C]","Lufttemperatur medelvärde [°C]","Molnighet [1/8]","Lufttryck medelvärde [hPa]","Relativ luftfuktighet medelvärde [%]","Nederbördsmängd medelvärde [mm]","Snödjup medelvärde [cm]","Vindriktning medelvärde [°]","Byvindshastighet medelvärde [m/s]","Vindhastighet medelvärde [m/s]"
"Helsingfors Kajsaniemi","2024","1","1","01:00","-16.2","-14.2","Klart (0/8)","1019.8","84.5","0","21","20.7","4.9","2.2"
"Helsingfors Kajsaniemi","2024","1","1","02:00","-16.5","-14.5","Klart (0/8)","1020.1","84.4","0","21","33.4","5.1","2.6"
"Helsingfors Kajsaniemi","2024","1","1","03:00","-16.8","-14.7","Klart (0/8)","1020.3","83.9","0","21","35.6","5.4","3"
"Helsingfors Kajsaniemi","2024","1","1","04:00","-16.7","-14.5","Klart (0/8)","1020.3","84","0","21","47","4.7","2.4"
"Helsingfors Kajsaniemi","2024","1","1","05:00","-16.5","-14.3","Klart (0/8)","1020.5","83.6","0","21","46.9","5.5","2.7"
"Helsingfors Kajsaniemi","2024","1","1","06:00","-16.4","-14.2","Klart (0/8)","1020.6","83.7","0","21","54.2","5.4","3.2"
"Helsingfors Kajsaniemi","2024","1","1","07:00","-16.8","-14.5","Klart (0/8)","1020.7","82.5","0","21","52.2","6","3.9"
"Helsingfors Kajsaniemi","2024","1","1","08:00","-17.6","-15.2","Klart (0/8)","1021","82","0","21","52","5.9","3.6"
"Helsingfors Kajsaniemi","2024","1","1","09:00","-18","-15.6","Klart (0/8)","1021.2","82","0","21","61.4","6.1","3.7"
"Helsingfors Kajsaniemi","2024","1","1","10:00","-18.3","-15.9","Halv klart (5/8)","1021.9","81.9","0","21","61.7","6","4"
"Helsingfors Kajsaniemi","2024","1","1","11:00","-18.6","-16","Mulet (8/8)","1022.1","80.7","0","21","49.9","7.5","4.7"
"Helsingfors Kajsaniemi","2024","1","1","12:00","-18.6","-15.9","Klart (1/8)","1022.3","80","0","21","-","-","-"
"Helsingfors Kajsaniemi","2024","1","1","13:00","-18.4","-15.7","Klart (1/8)","1022.1","80","0","21","45","7.6","4.2"
"Helsingfors Kajsaniemi","2024","1","1","14:00","-18.4","-15.7","Klart (0/8)","1022","80","0","21","41.8","8.2","4.4"
"Helsingfors Kajsaniemi","2024","1","1","15:00","-18.6","-15.9","Klart (0/8)","1022","79.9","0","21","42.8","7.4","4.3"
"Helsingfors Kajsaniemi","2024","1","1","16:00","-19.1","-16.4","Klart (0/8)","1022.4","79.5","0","21","42.9","8.5","5.2"
"Helsingfors Kajsaniemi","2024","1","1","17:00","-19.6","-16.9","Mest klart (2/8)","1022.3","80","0","21","42.3","10","5.9"
"Helsingfors Kajsaniemi","2024","1","1","18:00","-19.5","-17","Klart (1/8)","1022.4","81.2","0","21","44.1","9.2","5.3"
"Helsingfors Kajsaniemi","2024","1","1","19:00","-19.8","-17.3","Molnigt (7/8)","1022.7","81.1","0","21","40.8","9.3","5.1"
"Helsingfors Kajsaniemi","2024","1","1","20:00","-19.5","-17","Molnigt (7/8)","1022.6","81","0","20.9","38.8","9.6","5.9"
"Helsingfors Kajsaniemi","2024","1","1","21:00","-19.7","-17","Mulet (8/8)","1022.5","80","0","20.5","40.6","9.8","5.3"
"Helsingfors Kajsaniemi","2024","1","1","22:00","-19.3","-16.7","Molnigt (7/8)","1022.6","80.5","0","21","40.7","8.1","4.6"
"Helsingfors Kajsaniemi","2024","1","1","23:00","-19","-16.5","Molnigt (7/8)","1022.8","81","0","20.1","41.3","7.8","4.3"
