"Observationsstation","År","Månad","Dag","Tid [Lokal tid]","Daggpunktstemperatur medelvärde [°C]","Lufttemperatur medelvärde [°C]","Molnighet [1/8]","Lufttryck medelvärde [hPa]","Relativ luftfuktighet medelvärde [%]","Nederbördsmängd medelvärde [mm]","Snödjup medelvärde [cm]","Vindriktning medelvärde [°]","Byvindshastighet medelvärde [m/s]","Vindhastighet medelvärde [m/s]"
"Helsingfors Kajsaniemi","2024","7","1","01:00","13.7","17.4","Mulet (8/8)","1006.2","79.3","0","-1","91.6","6.3","3.9"
"Helsingfors Kajsaniemi","2024","7","1","02:00","13.5","17.6","Mulet (8/8)","1005.1","77.3","0","-1","92.4","8.1","5"
"Helsingfors Kajsaniemi","2024","7","1","03:00","13.4","17.6","Mulet (8/8)","1003.9","76","0.02","-1","98.5","9.9","5.8"
"Helsingfors Kajsaniemi","2024","7","1","04:00","14.5","16.6","Molnigt (7/8)","1002.9","87.4","0.02","-1","112.7","7.8","4.9"
"Helsingfors Kajsaniemi","2024","7","1","05:00","14.7","16.3","Molnigt (7/8)","1001.3","90.5","0","-1","107.4","6.1","4.4"
"Helsingfors Kajsaniemi","2024","7","1","06:00","15.1","17","Halv klart (4/8)","1001","88.5","0","-1","117.8","4.9","3.4"
"Helsingfors Kajsaniemi","2024","7","1","07:00","15","18.4","Halv klart (4/8)","1000.7","80.8","0","-1","163.4","5.1","2.9"
"Helsingfors Kajsaniemi","2024","7","1","08:00","15","19.7","Halv klart (5/8)","1000.1","74.7","0","-1","178.7","6.6","3.8"
"Helsingfors Kajsaniemi","2024","7","1","09:00","15.5","19.2","Molnigt (6/8)","999.7","79.4","0","-1","187","7.7","4.1"
"Helsingfors Kajsaniemi","2024","7","1","10:00","16.4","18.9","Molnigt (7/8)","999.6","85.2","0","-1","203.5","6.8","4.3"
"Helsingfors Kajsaniemi","2024","7","1","11:00","16.5","18.9","Mulet (8/8)","999.8","86.1","0","-1","186.1","6.8","3.8"
"Helsingfors Kajsaniemi","2024","7","1","12:00","16.9","19.5","Mulet (8/8)","999.8","85","0","-1","183","6.5","3.9"
"Helsingfors Kajsaniemi","2024","7","1","13:00","17.2","19.6","Mulet (8/8)","999.6","85.7","0","-1","206","7.5","4.2"
"Helsingfors Kajsaniemi","2024","7","1","14:00","16.8","19.9","Mulet (8/8)","999.7","82.3","0","-1","236.4","7.6","4.1"
"Helsingfors Kajsaniemi","2024","7","1","15:00","16.6","18.9","Molnigt (7/8)","999.7","86.7","0","-1","234.3","9.9","5.4"
"Helsingfors Kajsaniemi","2024","7","1","16:00","15.5","18.3","Molnigt (7/8)","999.8","83.6","0","-1","232.3","10","5.8"
"Helsingfors Kajsaniemi","2024","7","1","17:00","15.2","18","Mulet (8/8)","999.3","83.3","0","-1","239.2","8.1","4.7"
"Helsingfors Kajsaniemi","2024","7","1","18:00","14.3","17.8","Molnigt (7/8)","999.6","80.3","0","-1","210.4","6","3.9"
"Helsingfors Kajsaniemi","2024","7","1","19:00","14.4","17.9","Mulet (8/8)","999.7","79.9","0","-1","224.9","6.8","4.1"
"Helsingfors Kajsaniemi","2024","7","1","20:00","14.6","18.8","Mulet (8/8)","1000","76.2","0","-1","270.6","9.9","5.6"
"Helsingfors Kajsaniemi","2024","7","1","21:00","13.3","18","Mulet (8/8)","1000.7","74","0","-1","279.5","9.6","5.9"
"Helsingfors Kajsaniemi","2024","7","1","22:00","12.4","17.5","Mulet (8/8)","1001.2","72.1","0","-1","280.1","9.7","6.4"
"Helsingfors Kajsaniemi","2024","7","1","23:00","12.2","17.2","Molnigt (7/8)","1001.6","73.1","0","-1","285.4","7.6","4.7"
"Helsingfors Kajsaniemi","2024","7","2","00:00","12.8","16.4","Halv klart (4/8)","1002.2","79.1","0","-1","257.9","6.3","4"
"Helsingfors Kajsaniemi","2024","7","2","01:00","13.1","15.8","Klart (0/8)","1002.5","83.9","0","-1","258","5.1","3.1"
"Helsingfors Kajsaniemi","2024","7","2","02:00","12.8","15.1","Klart (0/8)","1002.4","86.6","0","-1","263.2","4.7","3"
"Helsingfors Kajsaniemi","2024","7","2","03:00","13.3","14.7","Klart (0/8)","1002.5","91","0","-1","217.4","2.6","1.6"
"Helsingfors Kajsaniemi","2024","7","2","04:00","13.7","14.7","Halv klart (5/8)","1002","93.8","0","-1","222.4","3.2","1.9"
"Helsingfors Kajsaniemi","2024","7","2","05:00","13.9","15","Molnigt (6/8)","1001.9","92.5","0","-1","231.6","3.8","1.9"
"Helsingfors Kajsaniemi","2024","7","2","06:00","13.7","15.2","Klart (0/8)","1002.1","90.8","0","-1","220.6","3.9","2.1"
