"Observationsstation","År","Månad","Dag","Tid [Lokal tid]","Daggpunktstemperatur medelvärde [°C]","Lufttemperatur medelvärde [°C]","Molnighet [1/8]","Lufttryck medelvärde [hPa]","Relativ luftfuktighet medelvärde [%]","Nederbördsmängd medelvärde [mm]","Snödjup medelvärde [cm]","Vindriktning medelvärde [°]","Byvindshastighet medelvärde [m/s]","Vindhastighet medelvärde [m/s]"
"Helsingfors Kajsaniemi","2024","3","1","01:00","-0.6","0.2","Mulet (8/8)","1022.1","94.1","0.02","15","202.7","7.1","4"
"Helsingfors Kajsaniemi","2024","3","1","02:00","-0.7","0.3","Mulet (8/8)","1022.2","93.3","0","15.3","190.8","7.4","4.2"
"Helsingfors Kajsaniemi","2024","3","1","03:00","-0.6","0.4","Mulet (8/8)","1022.3","92.6","0","15.5","193.6","7.2","3.9"
"Helsingfors Kajsaniemi","2024","3","1","04:00","-0.5","0.2","Mulet (8/8)","1022.2","95","0.02","15","186.3","6.9","3.9"
"Helsingfors Kajsaniemi","2024","3","1","05:00","-0.5","0.4","Mulet (8/8)","1022.2","93.6","0","15.7","180.5","6.2","3.7"
"Helsingfors Kajsaniemi","2024","3","1","06:00","-0.7","0.5","Mulet (8/8)","1022.1","91.7","0","16","173.5","5.9","3.8"
"Helsingfors Kajsaniemi","2024","3","1","07:00","-0.7","0.6","Mulet (8/8)","1022.4","91.2","0","16","172.5","5.8","3.5"
"Helsingfors Kajsaniemi","2024","3","1","08:00","-0.7","0.8","Mulet (8/8)","1022.7","89.8","0","16","184.3","5.2","3"
"Helsingfors Kajsaniemi","2024","3","1","09:00","-0.6","1","Mulet (8/8)","1022.9","89.5","0","16","192.7","5.5","3"
"Helsingfors Kajsaniemi","2024","3","1","10:00","-0.7","1.1","Mulet (8/8)","1023","88.5","0","15.4","168.4","4.8","2.8"
"Helsingfors Kajsaniemi","2024","3","1","11:00","-0.8","1.4","Mulet (8/8)","1023.1","85","0","15.6","174.5","5.6","3.2"
"Helsingfors Kajsaniemi","2024","3","1","12:00","-0.6","1.1","Mulet (8/8)","1023.3","88.1","0","16","153.6","6","3.4"
"Helsingfors Kajsaniemi","2024","3","1","13:00","-0.7","1.3","Mulet (8/8)","1023.5","86.5","0","16.1","158.4","6.3","4.1"
"Helsingfors Kajsaniemi","2024","3","1","14:00","-0.9","1.3","Mulet (8/8)","1023.6","84.8","0","16.5","148.8","5.5","3.4"
"Helsingfors Kajsaniemi","2024","3","1","15:00","-0.6","1.2","Mulet (8/8)","1023.5","87.9","0","16","133","5.6","3.4"
"Helsingfors Kajsaniemi","2024","3","1","16:00","-0.8","1.4","Mulet (8/8)","1023.3","85.6","0","16","-","-","-"
"Helsingfors Kajsaniemi","2024","3","1","17:00","-1.1","1.2","Mulet (8/8)","1023.2","85","0","15.8","129.4","6","3.7"
"Helsingfors Kajsaniemi","2024","3","1","18:00","-1.2","0.9","Mulet (8/8)","1023.3","85.6","0","16","131.5","5.8","3.6"
"Helsingfors Kajsaniemi","2024","3","1","19:00","-1","0.6","Mulet (8/8)","1022.9","89.1","0","16","116.1","7.6","5.5"
"Helsingfors Kajsaniemi","2024","3","1","20:00","-0.8","0.3","Mulet (8/8)","1022.8","92.5","0","16","112.2","8.4","6.3"
"Helsingfors Kajsaniemi","2024","3","1","21:00","-0.7","0.2","Mulet (8/8)","1023.1","93.9","0","16","115.5","9","6.4"
"Helsingfors Kajsaniemi","2024","3","1","22:00","-0.8","0.3","Mulet (8/8)","1023.4","92.4","0","16","115.8","8.2","5.8"
"Helsingfors Kajsaniemi","2024","3","1","23:00","-0.8","0.2","Mulet (8/8)","1023.7","93","0","16","115.2","7.4","5.4"
"Helsingfors Kajsaniemi","2024","3","2","00:00","-0.8","0.2","Mulet (8/8)","1023.7","93","0","16","112.2","6.2","4.7"
"Helsingfors Kajsaniemi","2024","3","2","01:00","-0.8","0.2","Mulet (8/8)","1023.8","93","0","16","113.1","6","4.6"
"Helsingfors Kajsaniemi","2024","3","2","02:00","-0.7","0.2","Mulet (8/8)","1024","93.7","0","16","114.3","5.5","3.9"
"Helsingfors Kajsaniemi","2024","3","2","03:00","-0.6","0.4","Mulet (8/8)","1024.4","93.1","0","16","120.7","5.3","3.5"
"Helsingfors Kajsaniemi","2024","3","2","04:00","-0.6","0.4","Mulet (8/8)","1023.8","93","0","16","111.5","6.4","4.9"
"Helsingfors Kajsaniemi","2024","3","2","05:00","-0.5","0.4","Mulet (8/8)","1023.7","93.7","0","16","109.3","5.2","3.6"
"Helsingfors Kajsaniemi","2024","3","2","06:00","-0.3","0.4","Mulet (8/8)","1023.5","95.3","0","16","96.5","4.9","3.2"
"Helsingfors Kajsaniemi","2024","3","2","07:00","-0.1","0.4","Mulet (8/8)","1023.6","96.9","0","16","97","4.8","3.2"
"Helsingfors Kajsaniemi","2024","3","2","08:00","0.1","0.5","Mulet (8/8)","1023.9","96.9","0","16","95.1","5.8","3.8"
"Helsingfors Kajsaniemi","2024","3","2","09:00","0","0.8","Mulet (8/8)","1024","94.5","0","16","95.6","6.3","3.8"
"Helsingfors Kajsaniemi","2024","3","2","10:00","0","1.3","Mulet (8/8)","1024.2","91.1","0","16","110","6.3","4.5"
"Helsingfors Kajsaniemi","2024","3","2","11:00","0","1.3","Mulet (8/8)","1024.2","91.2","0","16.1","114.5","7.4","5.6"
"Helsingfors Kajsaniemi","2024","3","2","12:00","-0.1","0.6","Mulet (8/8)","1024.4","95.4","0","-","118.2","7.7","5.4"
"Helsingfors Kajsaniemi","2024","3","2","13:00","0.1","0.5","Mulet (8/8)","1024.5","96.8","0","14.4","112.1","7.7","5.5"
"Helsingfors Kajsaniemi","2024","3","2","14:00","0.5","1","Mulet (8/8)","1024.5","96.6","0","15.4","112.9","8.1","6"
"Helsingfors Kajsaniemi","2024","3","2","15:00","0.5","1.5","Mulet (8/8)","1024.3","92.5","0","14","108.8","7.4","5.2"
"Helsingfors Kajsaniemi","2024","3","2","16:00","0.3","1.7","Mulet (8/8)","1024.1","91","0","14.5","99.4","7.8","4.8"
"Helsingfors Kajsaniemi","2024","3","2","17:00","0.2","1.5","Mulet (8/8)","1024.1","91","0","15","94.1","7.1","4.6"
"Helsingfors Kajsaniemi","2024","3","2","18:00","0.1","1.4","Mulet (8/8)","1024","90.9","0","15.7","94.1","8.6","5.6"
"Helsingfors Kajsaniemi","2024","3","2","19:00","0","1.5","Mulet (8/8)","1024.3","89.8","0","16.3","98.8","8.5","5.3"
"Helsingfors Kajsaniemi","2024","3","2","20:00","0","1.4","Mulet (8/8)","1024.5","90.4","0","14.9","105.4","7.9","5.4"
"Helsingfors Kajsaniemi","2024","3","2","21:00","0","1.4","Mulet (8/8)","1024.5","90.8","0","13.1","106","8.4","5.6"
"Helsingfors Kajsaniemi","2024","3","2","22:00","0","1.3","Mulet (8/8)","1024.7","91.9","0","13","113.5","8.5","6.2"
"Helsingfors Kajsaniemi","2024","3","2","23:00","0.1","1.2","Mulet (8/8)","1025.1","92.1","0","13","121.6","5.9","3.9"
"Helsingfors Kajsaniemi","2024","3","3","00:00","0","1.1","Mulet (8/8)","1025.2","92.4","0","13.7","120.4","4.4","3"
"Helsingfors Kajsaniemi","2024","3","3","01:00","0.1","1","Mulet (8/8)","1025","93","0","14.8","89.3","4.2","2.9"
"Helsingfors Kajsaniemi","2024","3","3","02:00","0","1","Klart (0/8)","1024.7","93","0","14.1","89.7","5.6","3.7"
