"Observationsstation","År","Månad","Dag","Tid [Lokal tid]","Daggpunktstemperatur medelvärde [°C]","Lufttemperatur medelvärde [°C]","Molnighet [1/8]","Lufttryck medelvärde [hPa]","Relativ luftfuktighet medelvärde [%]","Nederbördsmängd medelvärde [mm]","Snödjup medelvärde [cm]","Vindriktning medelvärde [°]","Byvindshastighet medelvärde [m/s]","Vindhastighet medelvärde [m/s]"
"Helsingfors Kajsaniemi","2024","5","1","01:00","2.5","9.5","Klart (0/8)","1028.8","61.7","0","0","330.1","3.5","2.5"
"Helsingfors Kajsaniemi","2024","5","1","02:00","2.7","9.4","Klart (0/8)","1029","63.2","0","0","352.9","4.9","3"
"Helsingfors Kajsaniemi","2024","5","1","03:00","2.3","9.7","Klart (0/8)","1029.4","60","0","0","54.1","4.7","2.9"
"Helsingfors Kajsaniemi","2024","5","1","04:00","2.2","9.2","Klart (0/8)","1029.8","61.6","0","0","38.4","6.3","3.7"
"Helsingfors Kajsaniemi","2024","5","1","05:00","2.4","8.3","Klart (0/8)","1030.1","66.3","0","0","55","6.2","3.8"
"Helsingfors Kajsaniemi","2024","5","1","06:00","2.2","7.5","Klart (0/8)","1030.2","69.2","0","0","66.5","5.9","3.7"
"Helsingfors Kajsaniemi","2024","5","1","07:00","2.5","7.6","Klart (0/8)","1030.6","69.9","0","0","74.3","4.1","2.6"
"Helsingfors Kajsaniemi","2024","5","1","08:00","3.2","9.7","Klart (0/8)","1030.6","64.2","0","0","99.8","4.3","2.9"
"Helsingfors Kajsaniemi","2024","5","1","09:00","2.7","10.7","Klart (0/8)","1030.5","57.6","0","0","101.8","5","3.5"
"Helsingfors Kajsaniemi","2024","5","1","10:00","2.4","10.5","Klart (0/8)","1030.7","57.7","0","0","112.2","3.9","2.7"
"Helsingfors Kajsaniemi","2024","5","1","11:00","2.1","9.9","Klart (0/8)","1030.8","58.2","0","0","150.2","5","3.7"
"Helsingfors Kajsaniemi","2024","5","1","12:00","1.5","10.3","Klart (0/8)","1030.8","54.3","0","0","144","5","3.5"
"Helsingfors Kajsaniemi","2024","5","1","13:00","1.5","10.6","Klart (0/8)","1030.6","53.4","0","0","166.5","4.4","2.7"
"Helsingfors Kajsaniemi","2024","5","1","14:00","1.4","11.1","Klart (0/8)","1030.1","51.2","0","0","192.3","4","2.6"
"Helsingfors Kajsaniemi","2024","5","1","15:00","1.4","11.3","Klart (0/8)","1029.6","50.4","0","0","184.2","4","2.5"
"Helsingfors Kajsaniemi","2024","5","1","16:00","2.4","11.7","Klart (0/8)","1029","53","0","0","203.5","4.2","2.7"
"Helsingfors Kajsaniemi","2024","5","1","17:00","2.7","11.8","Klart (0/8)","1028.4","53.7","0","0","204","4.6","3.4"
"Helsingfors Kajsaniemi","2024","5","1","18:00","2.3","11.4","Klart (0/8)","1028","53.6","0","0","205.1","4","2.6"
"Helsingfors Kajsaniemi","2024","5","1","19:00","2.4","12.1","Klart (0/8)","1027.4","51.5","0","0","235.9","3.7","2.4"
