"Observationsstation","År","Månad","Dag","Tid [Lokal tid]","Daggpunktstemperatur medelvärde [°C]","Lufttemperatur medelvärde [°C]","Molnighet [1/8]","Lufttryck medelvärde [hPa]","Relativ luftfuktighet medelvärde [%]","Nederbördsmängd medelvärde [mm]","Snödjup medelvärde [cm]","Vindriktning medelvärde [°]","Byvindshastighet medelvärde [m/s]","Vindhastighet medelvärde [m/s]"
"Helsingfors Kajsaniemi","2024","11","1","01:00","3","3.5","Mulet (8/8)","996.9","97","0.08","-","71.7","6","3.7"
"Helsingfors Kajsaniemi","2024","11","1","02:00","2.9","3.4","Mulet (8/8)","995.9","97","0.15","-","68.5","5.3","3.6"
"Helsingfors Kajsaniemi","2024","11","1","03:00","2.8","3.2","Mulet (8/8)","994.4","97","0.07","-","68.7","5.7","3.5"
"Helsingfors Kajsaniemi","2024","11","1","04:00","3.4","3.7","Mulet (8/8)","993.6","97.5","0.28","-","68.8","5.1","3.3"
"Helsingfors Kajsaniemi","2024","11","1","05:00","3.8","4.2","Mulet (8/8)","992.5","97.7","0.4","-","69.4","5.2","3.3"
"Helsingfors Kajsaniemi","2024","11","1","06:00","3.7","4.6","Mulet (8/8)","990.7","93.9","0.27","-","90.6","8.9","5.4"
"Helsingfors Kajsaniemi","2024","11","1","07:00","3.3","4","Mulet (8/8)","989.5","95.1","0.32","-","69","6","3.7"
"Helsingfors Kajsaniemi","2024","11","1","08:00","3.6","4.6","Mulet (8/8)","988.4","93","0.28","-","103","9.5","5.7"
"Helsingfors Kajsaniemi","2024","11","1","09:00","3.4","4.7","Mulet (8/8)","987.3","91.5","0.15","-","101.6","9.6","5.8"
"Helsingfors Kajsaniemi","2024","11","1","10:00","3.8","4.8","Mulet (8/8)","986.9","93.2","0.27","-","98.5","9.6","5.9"
"Helsingfors Kajsaniemi","2024","11","1","11:00","3.9","4.9","Mulet (8/8)","986.4","93","0.1","-","104.3","9.1","5.6"
"Helsingfors Kajsaniemi","2024","11","1","12:00","4","4.9","Mulet (8/8)","986","93.7","0.07","-","100.2","8.2","5.1"
"Helsingfors Kajsaniemi","2024","11","1","13:00","3.9","4.8","Mulet (8/8)","985.6","94.1","0.08","-","103.6","8.6","5.6"
"Helsingfors Kajsaniemi","2024","11","1","14:00","3.3","4.2","Mulet (8/8)","985.8","94","0.07","-","53.2","6.8","3.9"
"Helsingfors Kajsaniemi","2024","11","1","15:00","2.5","3","Mulet (8/8)","986","96.3","0.1","-","19.2","6.8","4.4"
"Helsingfors Kajsaniemi","2024","11","1","16:00","2.2","2.6","Mulet (8/8)","986.7","97","0.27","-","276","5.5","3.7"
"Helsingfors Kajsaniemi","2024","11","1","17:00","0.8","1.2","Mulet (8/8)","987.3","97.1","0.2","-","296.3","6.5","4.5"
"Helsingfors Kajsaniemi","2024","11","1","18:00","1.1","1.4","Mulet (8/8)","987.4","97.2","0.33","-","186.1","4.8","2.7"
"Helsingfors Kajsaniemi","2024","11","1","19:00","0.8","1.1","Mulet (8/8)","987.8","98","0.17","-","326.5","3.3","2.2"
"Helsingfors Kajsaniemi","2024","11","1","20:00","0.5","0.7","Mulet (8/8)","988.2","98","0.27","-","315.1","4.1","2.3"
"Helsingfors Kajsaniemi","2024","11","1","21:00","1.2","1.6","Molnigt (7/8)","988.2","98","0","-","311.3","4.3","2.5"
"Helsingfors Kajsaniemi","2024","11","1","22:00","1.7","2","Mulet (8/8)","988.5","98","0","-","313.1","3.9","2.2"
"Helsingfors Kajsaniemi","2024","11","1","23:00","1.5","1.9","Mulet (8/8)","989.4","98","0.05","-","62.2","3.5","2.3"
"Helsingfors Kajsaniemi","2024","11","2","00:00","1.2","1.5","Mulet (8/8)","991","98","0.02","-","178.2","4.2","2.5"
"Helsingfors Kajsaniemi","2024","11","2","01:00","0.8","1.1","Mulet (8/8)","992.6","98","0","-","179.3","4.1","2.5"
"Helsingfors Kajsaniemi","2024","11","2","02:00","0.5","0.9","Mulet (8/8)","994.6","97.5","0.13","-","320","5.5","3.3"
"Helsingfors Kajsaniemi","2024","11","2","03:00","0.5","0.8","Mulet (8/8)","996.9","97.7","0.1","-","41.6","7.3","4.1"
"Helsingfors Kajsaniemi","2024","11","2","04:00","0.5","0.9","Mulet (8/8)","999.4","97","0.08","-","315.2","7","4.3"
"Helsingfors Kajsaniemi","2024","11","2","05:00","0.5","0.8","Mulet (8/8)","1001.1","97.7","0.08","-","334.4","6.1","4.1"
"Helsingfors Kajsaniemi","2024","11","2","06:00","0.5","0.8","Molnigt (7/8)","1002.4","98","0","-","320.2","5.2","3.3"
"Helsingfors Kajsaniemi","2024","11","2","07:00","0.4","0.8","Halv klart (4/8)","1003.5","97.1","0","-","313.9","6.3","4"
"Helsingfors Kajsaniemi","2024","11","2","08:00","0.3","1","Mest klart (3/8)","1004.6","95","0","-","300","7.3","4.5"
"Helsingfors Kajsaniemi","2024","11","2","09:00","0.3","1.4","Molnigt (7/8)","1005.7","92.2","0","-","302.9","8.4","5.4"
"Helsingfors Kajsaniemi","2024","11","2","10:00","0.5","1.9","Molnigt (6/8)","1006.9","90.5","0","-","308.9","9.2","5.8"
"Helsingfors Kajsaniemi","2024","11","2","11:00","0.2","2.7","Molnigt (6/8)","1008.1","83.9","0","-","315.7","10.6","6.4"
"Helsingfors Kajsaniemi","2024","11","2","12:00","-0.2","3.2","Molnigt (7/8)","1009","78.9","0","-","311.7","12.5","7.5"
"Helsingfors Kajsaniemi","2024","11","2","13:00","-0.5","3.4","Molnigt (7/8)","1010","76","0","0","312.6","13","8.3"
"Helsingfors Kajsaniemi","2024","11","2","14:00","-1.2","3.2","Molnigt (7/8)","1011.4","72.8","0","-","312.1","15.5","9"
"Helsingfors Kajsaniemi","2024","11","2","15:00","-1.5","3.3","Klart (1/8)","1012.7","70.7","0","-","313.3","15.6","9.9"
"Helsingfors Kajsaniemi","2024","11","2","16:00","-1.8","2.8","Mest klart (3/8)","1014.1","71.6","0","-","320.2","16.1","10.1"
"Helsingfors Kajsaniemi","2024","11","2","17:00","-2","2.3","Klart (0/8)","1015.3","73.5","0","-","-","-","-"
"Helsingfors Kajsaniemi","2024","11","2","18:00","-2.6","2.2","Klart (0/8)","1016.1","70.8","0","-","322.3","13","8"
"Helsingfors Kajsaniemi","2024","11","2","19:00","-2.9","1.8","Klart (0/8)","1016.4","71.4","0","-","322.1","10.7","6.7"
"Helsingfors Kajsaniemi","2024","11","2","20:00","-2.8","1.4","Klart (0/8)","1017","73.8","0","-","316.8","8.5","5.5"
"Helsingfors Kajsaniemi","2024","11","2","21:00","-2.6","1.3","Klart (0/8)","1017.7","75.2","0","-","307.5","7.3","4.9"
"Helsingfors Kajsaniemi","2024","11","2","22:00","-2.2","1.4","Klart (0/8)","1018","77","0","-","298.7","7","4.4"
"Helsingfors Kajsaniemi","2024","11","2","23:00","-1.8","1.3","Molnigt (6/8)","1018.2","79.9","0","-","288.1","5.5","3.5"
"Helsingfors Kajsaniemi","2024","11","3","00:00","-1.5","1.6","Klart (0/8)","1018.3","80.3","0","-","283.5","6.5","3.8"
