"Observationsstation","År","Månad","Dag","Tid [Lokal tid]","Daggpunktstemperatur medelvärde [°C]","Lufttemperatur medelvärde [°C]","Molnighet [1/8]","Lufttryck medelvärde [hPa]","Relativ luftfuktighet medelvärde [%]","Nederbördsmängd medelvärde [mm]","Snödjup medelvärde [cm]","Vindriktning medelvärde [°]","Byvindshastighet medelvärde [m/s]","Vindhastighet medelvärde [m/s]"
"Helsingfors Kajsaniemi","2024","9","1","01:00","11.2","13.4","Halv klart (4/8)","1017.3","86.1","0","-1","267.4","6.3","4"
"Helsingfors Kajsaniemi","2024","9","1","02:00","11.3","13.1","Molnigt (6/8)","1017.2","88.4","0","-1","263.6","5.7","3.7"
"Helsingfors Kajsaniemi","2024","9","1","03:00","11.4","13.1","Halv klart (5/8)","1017.2","89.2","0","-1","264.1","6.1","3.8"
"Helsingfors Kajsaniemi","2024","9","1","04:00","11.5","13.2","Molnigt (7/8)","1017.2","89.1","0","-1","262.6","5.8","3.6"
"Helsingfors Kajsaniemi","2024","9","1","05:00","11.6","13.3","Molnigt (7/8)","1017.2","89.3","0","-1","261.5","6.6","4.2"
"Helsingfors Kajsaniemi","2024","9","1","06:00","11.3","13.2","Molnigt (6/8)","1017.1","87.9","0","-1","254.8","5.6","3.6"
"Helsingfors Kajsaniemi","2024","9","1","07:00","11.1","13.1","Mest klart (3/8)","1017.3","87.6","0","-1","243.8","6.3","3.6"
"Helsingfors Kajsaniemi","2024","9","1","08:00","10.9","13.6","Klart (0/8)","1017.5","84.2","0","-1","261.6","8.3","5.1"
"Helsingfors Kajsaniemi","2024","9","1","09:00","11.2","14.5","Klart (0/8)","1017.7","80.2","0","-1","261","9.8","6"
"Helsingfors Kajsaniemi","2024","9","1","10:00","11.4","15.4","Mest klart (3/8)","1018","76.5","0","-1","258.5","9.3","5.4"
"Helsingfors Kajsaniemi","2024","9","1","11:00","11.3","15.2","Molnigt (7/8)","1018.7","77.7","0.02","-1","273.3","7.5","4.3"
"Helsingfors Kajsaniemi","2024","9","1","12:00","12","15.7","Molnigt (7/8)","1019.2","79","0.02","-1","238.4","3.5","1.6"
"Helsingfors Kajsaniemi","2024","9","1","13:00","11.2","17.1","Molnigt (7/8)","1019.7","68.7","0.02","-1","263.3","8.3","4.9"
"Helsingfors Kajsaniemi","2024","9","1","14:00","12.1","17.4","Klart (0/8)","1020.2","71","0","-1","217.7","8.8","5.2"
"Helsingfors Kajsaniemi","2024","9","1","15:00","12.1","17.5","Klart (0/8)","1020.4","70.7","0","-1","216.2","10.3","7.3"
"Helsingfors Kajsaniemi","2024","9","1","16:00","11.8","17.1","Klart (0/8)","1020.5","71","0","-1","217.1","8.8","5.6"
"Helsingfors Kajsaniemi","2024","9","1","17:00","11.9","16.7","Klart (0/8)","1020.8","73.3","0","-1","214.8","9.1","5.8"
"Helsingfors Kajsaniemi","2024","9","1","18:00","11.6","16.2","Klart (0/8)","1021.2","74.1","0","-1","214.4","8.8","4.7"
"Helsingfors Kajsaniemi","2024","9","1","19:00","11.5","16","Molnigt (7/8)","1021.4","74.3","0","-1","218.9","7","4.4"
"Helsingfors Kajsaniemi","2024","9","1","20:00","11.2","15.5","Mest klart (3/8)","1021.5","75.4","0","-1","210.6","5.5","3.1"
"Helsingfors Kajsaniemi","2024","9","1","21:00","11.7","14.8","Molnigt (7/8)","1022","82","0","-1","170.1","3.4","2.1"
"Helsingfors Kajsaniemi","2024","9","1","22:00","11.6","14.5","Mest klart (3/8)","1022.3","82.5","0","-1","125.8","3.1","2.1"
"Helsingfors Kajsaniemi","2024","9","1","23:00","11","14.2","Molnigt (7/8)","1022.5","81","0","-1","102.2","3.8","2.7"
"Helsingfors Kajsaniemi","2024","9","2","00:00","11.9","14.4","Molnigt (7/8)","1022.7","84.9","0","-1","109.4","4.7","2.9"
"Helsingfors Kajsaniemi","2024","9","2","01:00","12.5","14.3","Halv klart (5/8)","1022.9","88.4","0","-1","69.6","3.5","2.2"
"Helsingfors Kajsaniemi","2024","9","2","02:00","12.6","14.9","Mulet (8/8)","1022.9","85.7","0","-1","116.4","4.3","2.8"
"Helsingfors Kajsaniemi","2024","9","2","03:00","11.8","15","Mulet (8/8)","1023.1","80.9","0.05","-1","164.7","5.6","3.4"
"Helsingfors Kajsaniemi","2024","9","2","04:00","11.9","14.3","Mulet (8/8)","1023.3","85.4","0.15","-1","155.5","4.3","2.6"
"Helsingfors Kajsaniemi","2024","9","2","05:00","12","12.9","Molnigt (7/8)","1023.6","94.1","0.1","-1","145.3","2.9","1.7"
"Helsingfors Kajsaniemi","2024","9","2","06:00","12.2","12.9","Molnigt (7/8)","1023.2","95.8","0","-1","68.4","3.6","2.5"
"Helsingfors Kajsaniemi","2024","9","2","07:00","12.7","13.4","Molnigt (7/8)","1023.1","95.7","0.05","-1","82.5","5.3","3.7"
"Helsingfors Kajsaniemi","2024","9","2","08:00","13.3","13.9","Mulet (8/8)","1023","96","0.02","-1","83.2","5.2","3.2"
"Helsingfors Kajsaniemi","2024","9","2","09:00","13.4","14.4","Molnigt (7/8)","1023","94","0","-1","77.7","5.6","3.8"
"Helsingfors Kajsaniemi","2024","9","2","10:00","13.8","15.9","Molnigt (7/8)","1022.9","86.8","0","-1","96.1","6.5","4.1"
"Helsingfors Kajsaniemi","2024","9","2","11:00","13.9","18.1","Molnigt (7/8)","1023.2","76.1","0","-1","111.3","8.8","6.6"
"Helsingfors Kajsaniemi","2024","9","2","12:00","13.7","18.6","Molnigt (6/8)","1023.2","73.3","0","-1","114.9","9.6","6.7"
"Helsingfors Kajsaniemi","2024","9","2","13:00","13.7","18.9","Mest klart (2/8)","1023.1","72.1","0","-1","113.4","9.2","7.3"
"Helsingfors Kajsaniemi","2024","9","2","14:00","13.4","18.4","Klart (0/8)","1023.1","73","0","-1","113.4","8.2","6.3"
"Helsingfors Kajsaniemi","2024","9","2","15:00","13.5","19","Klart (0/8)","1023.1","70.1","0","-1","114.9","7.5","5.8"
"Helsingfors Kajsaniemi","2024","9","2","16:00","13","18.9","Klart (0/8)","1022.9","68.5","0","-1","111.2","8","5.6"
"Helsingfors Kajsaniemi","2024","9","2","17:00","14","18.6","Klart (1/8)","1022.5","74.4","0","-1","99.5","7.6","4.8"
"Helsingfors Kajsaniemi","2024","9","2","18:00","13.6","18.4","Klart (0/8)","1022.4","73.5","0","-1","102.8","6.9","4.7"
