Observationsstation;År;Månad;Dag;Tid [Lokal tid];Lufttemperatur [°C];Daggpunktstemperatur [°C];Molnighet [1/8];Lufttryck [hPa];Relativ luftfuktighet [%];Nederbördsmängd [mm];Snödjup [cm];Horisontell sikt [m];Vindriktning [°];Byvindshastighet [m/s];Vindhastighet [m/s]
Helsingfors Kajsaniemi;2025;1;1;01:00;-1,8;-6,1;Molnigt (7/8);1006,4;73;0;0;41580;248;3,1;2,1
Helsingfors Kajsaniemi;2025;1;1;01:10;-1,9;-6;Molnigt (7/8);1006,2;73;0;0;50000;239;3,3;2,3
Helsingfors Kajsaniemi;2025;1;1;01:20;-1,8;-6;Molnigt (7/8);1006,2;73;0;0;50000;239;3,7;2,2
Helsingfors Kajsaniemi;2025;1;1;01:30;-1,7;-6,1;Molnigt (7/8);1006,1;72;0;0;50000;239;3,5;2,1
Helsingfors Kajsaniemi;2025;1;1;01:40;-1,5;-6;Molnigt (7/8);1005,9;72;0;0;50000;247;2,9;1,7
Helsingfors Kajsaniemi;2025;1;1;01:50;-1,6;-5,9;Mulet (8/8);1005,6;72;0;0;50000;249;3,6;1,9
Helsingfors Kajsaniemi;2025;1;1;02:00;-1,7;-5,7;Mulet (8/8);1005,2;74;0;0;50000;259;2,3;1,3
Helsingfors Kajsaniemi;2025;1;1;02:10;-1,8;-6,2;Mulet (8/8);1004,8;72;0;0;50000;259;2,2;1
Helsingfors Kajsaniemi;2025;1;1;02:20;-1,9;-5,9;Mulet (8/8);1004,6;74;0;0;50000;0;0,6;0
Helsingfors Kajsaniemi;2025;1;1;02:30;-1,9;-5,7;Mulet (8/8);1004,3;75;0;0;50000;212;0,8;0,3
Helsingfors Kajsaniemi;2025;1;1;02:40;-1,8;-5,8;Mulet (8/8);1004;74;0;0;50000;100;1,2;0,6
Helsingfors Kajsaniemi;2025;1;1;02:50;-1,7;-5,7;Mulet (8/8);1003,7;74;0;0;45160;103;1,7;1
Helsingfors Kajsaniemi;2025;1;1;03:00;-1,4;-5,7;Mulet (8/8);1003,5;73;0;0;50000;93;2,5;1,8
Helsingfors Kajsaniemi;2025;1;1;03:10;-1,5;-5,4;Mulet (8/8);1003,1;75;0;0;50000;83;3;2,4
Helsingfors Kajsaniemi;2025;1;1;03:20;-1,6;-5,4;Mulet (8/8);1002,9;75;0;0;50000;85;3,3;2,7
