Observationsstation,År,Månad,Dag,Tid [Lokal tid],Daggpunktstemperatur medelvärde [°C],Lufttemperatur medelvärde [°C],Molnighet [1/8],Lufttryck medelvärde [hPa],Relativ luftfuktighet medelvärde [%],Nederbördsmängd medelvärde [mm],Snödjup medelvärde [cm],Vindriktning medelvärde [°],Byvindshastighet medelvärde [m/s],Vindhastighet medelvärde [m/s]
Helsingfors Kajsaniemi,2024,1,1,01:00,-16.2,-14.2,Klart (0/8),1019.8,84.5,0.0,21,20.7,4.9,2.2
Helsingfors Kajsaniemi,2024,1,1,02:00,-16.5,-14.5,Klart (0/8),1020.1,84.4,0.0,21,33.4,5.1,2.6
Helsingfors Kajsaniemi,2024,1,1,03:00,-16.8,-14.7,Klart (0/8),1020.3,83.9,0.0,21,35.6,5.4,3
Helsingfors Kajsaniemi,2024,1,1,04:00,-16.7,-14.5,Klart (0/8),1020.3,84.0,0.0,21,47,4.7,2.4
Helsingfors Kajsaniemi,2024,1,1,05:00,-16.5,-14.3,Klart (0/8),1020.5,83.6,0.0,21,46.9,5.5,2.7
Helsingfors Kajsaniemi,2024,1,1,06:00,-16.4,-14.2,Klart (0/8),1020.6,83.7,0.0,21,54.2,5.4,3.2
Helsingfors Kajsaniemi,2024,1,1,07:00,-16.8,-14.5,Klart (0/8),1020.7,82.5,0.0,21,52.2,6,3.9
Helsingfors Kajsaniemi,2024,1,1,08:00,-17.6,-15.2,Klart (0/8),1021.0,82.0,0.0,21,52,5.9,3.6
Helsingfors Kajsaniemi,2024,1,1,09:00,-18.0,-15.6,Klart (0/8),1021.2,82.0,0.0,21,61.4,6.1,3.7
Helsingfors Kajsaniemi,2024,1,1,10:00,-18.3,-15.9,Halv klart (5/8),1021.9,81.9,0.0,21,61.7,6,4
Helsingfors Kajsaniemi,2024,1,1,11:00,-18.6,-16.0,Mulet (8/8),1022.1,80.7,0.0,21,49.9,7.5,4.7
Helsingfors Kajsaniemi,2024,1,1,12:00,-18.6,-15.9,Klart (1/8),1022.3,80.0,0.0,21,-,-,-
Helsingfors Kajsaniemi,2024,1,1,13:00,-18.4,-15.7,Klart (1/8),1022.1,80.0,0.0,21,45,7.6,4.2
Helsingfors Kajsaniemi,2024,1,1,14:00,-18.4,-15.7,Klart (0/8),1022.0,80.0,0.0,21,41.8,8.2,4.4
Helsingfors Kajsaniemi,2024,1,1,15:00,-18.6,-15.9,Klart (0/8),1022.0,79.9,0.0,21,42.8,7.4,4.3
Helsingfors Kajsaniemi,2024,1,1,16:00,-19.1,-16.4,Klart (0/8),1022.4,79.5,0.0,21,42.9,8.5,5.2
Helsingfors Kajsaniemi,2024,1,1,17:00,-19.6,-16.9,Mest klart (2/8),1022.3,80.0,0.0,21,42.3,10,5.9
Helsingfors Kajsaniemi,2024,1,1,18:00,-19.5,-17.0,Klart (1/8),1022.4,81.2,0.0,21,44.1,9.2,5.3
Helsingfors Kajsaniemi,2024,1,1,19:00,-19.8,-17.3,Molnigt (7/8),1022.7,81.1,0.0,21,40.8,9.3,5.1
Helsingfors Kajsaniemi,2024,1,1,20:00,-19.5,-17.0,Molnigt (7/8),1022.6,81.0,0.0,20.9,38.8,9.6,5.9
Helsingfors Kajsaniemi,2024,1,1,21:00,-19.7,-17.0,Mulet (8/8),1022.5,80.0,0.0,20.5,40.6,9.8,5.3
Helsingfors Kajsaniemi,2024,1,1,22:00,-19.3,-16.7,Molnigt (7/8),1022.6,80.5,0.0,21,40.7,8.1,4.6
Helsingfors Kajsaniemi,2024,1,1,23:00,-19.0,-16.5,Molnigt (7/8),1022.8,81.0,0.0,20.1,41.3,7.8,4.3
Helsingfors Kajsaniemi,2024,1,2,00:00,-18.9,-16.5,Molnigt (7/8),1022.9,81.2,0.0,20,-,-,-
Helsingfors Kajsaniemi,2024,1,2,01:00,-19.1,-16.6,Molnigt (7/8),1023.2,80.9,0.0,20,37.1,8.8,4.9
Helsingfors Kajsaniemi,2024,1,2,02:00,-19.2,-16.7,Molnigt (7/8),1023.0,81.0,0.0,20,40,8.5,4.9
Helsingfors Kajsaniemi,2024,1,2,03:00,-18.9,-16.4,Molnigt (7/8),1022.9,81.0,0.0,20,46,8.7,5.4
Helsingfors Kajsaniemi,2024,1,2,04:00,-18.4,-15.9,Mulet (8/8),1022.9,81.0,0.0,20.4,46.6,7.9,4.9
Helsingfors Kajsaniemi,2024,1,2,05:00,-17.8,-15.2,Mulet (8/8),1022.8,80.6,0.0,20,46.1,8.1,5
Helsingfors Kajsaniemi,2024,1,2,06:00,-17.5,-15.1,Mulet (8/8),1022.9,81.5,0.0,20,42.2,7.5,4.5
Helsingfors Kajsaniemi,2024,1,2,07:00,-17.5,-15.1,Mulet (8/8),1023.0,81.7,0.0,20,45.3,8.2,5
Helsingfors Kajsaniemi,2024,1,2,08:00,-16.7,-14.3,Mulet (8/8),1023.0,82.2,0.0,20,-,-,-
Helsingfors Kajsaniemi,2024,1,2,09:00,-17.4,-14.9,Mulet (8/8),1023.1,81.2,0.0,20,46.8,8.7,5.6
Helsingfors Kajsaniemi,2024,1,2,10:00,-17.7,-15.2,Mulet (8/8),1023.5,81.1,0.0,20,47.8,8.1,4.7
Helsingfors Kajsaniemi,2024,1,2,11:00,-17.6,-15.0,Molnigt (7/8),1023.6,81.1,0.0,20.6,46.3,7.8,4.6
Helsingfors Kajsaniemi,2024,1,2,12:00,-18.4,-15.6,Halv klart (5/8),1023.7,79.5,0.0,20.7,46.9,7.5,3.9
Helsingfors Kajsaniemi,2024,1,2,13:00,-18.1,-14.9,Molnigt (7/8),1023.5,76.6,0.0,20.6,46.5,6.9,4.1
Helsingfors Kajsaniemi,2024,1,2,14:00,-18.3,-15.1,Klart (0/8),1023.2,77.0,0.0,20,42.1,7.4,4.5
Helsingfors Kajsaniemi,2024,1,2,15:00,-19.1,-15.5,Klart (0/8),1023.0,74.1,0.0,20,43.6,7.2,4.3
Helsingfors Kajsaniemi,2024,1,2,16:00,-20.0,-16.4,Klart (0/8),1022.8,74.0,0.0,19.3,41.1,7.9,4.9
Helsingfors Kajsaniemi,2024,1,2,17:00,-19.5,-16.7,Klart (0/8),1022.6,78.6,0.0,19,38.3,6.9,4.3
Helsingfors Kajsaniemi,2024,1,2,18:00,-20.4,-17.8,Klart (0/8),1022.6,79.9,0.0,19,38.6,6.9,3.7
Helsingfors Kajsaniemi,2024,1,2,19:00,-21.3,-18.7,Klart (1/8),1022.6,80.7,0.0,19,54.8,6.1,3.6
Helsingfors Kajsaniemi,2024,1,2,20:00,-21.3,-18.9,Klart (0/8),1022.3,81.0,0.0,19,43.9,5.5,2.8
Helsingfors Kajsaniemi,2024,1,2,21:00,-21.4,-19.0,Klart (1/8),1022.0,81.1,0.0,19.7,35,5.1,2.8
Helsingfors Kajsaniemi,2024,1,2,22:00,-21.6,-19.2,Klart (1/8),1022.0,81.6,0.0,20,54.4,5.5,3.1
Helsingfors Kajsaniemi,2024,1,2,23:00,-21.7,-19.3,Molnigt (7/8),1021.8,81.0,0.0,20,41.3,5.3,2.6
Helsingfors Kajsaniemi,2024,1,3,00:00,-21.4,-18.7,Molnigt (7/8),1021.4,79.7,0.0,20.1,50,4.7,2.4
Helsingfors Kajsaniemi,2024,1,3,01:00,-20.9,-18.1,Halv klart (4/8),1021.2,79.1,0.0,20.5,64,5.7,3.3
Helsingfors Kajsaniemi,2024,1,3,02:00,-20.3,-17.7,Mulet (8/8),1020.9,80.3,0.0,20.7,50.7,5.3,3
Helsingfors Kajsaniemi,2024,1,3,03:00,-20.1,-17.4,Molnigt (7/8),1020.8,79.8,0.0,20.8,58.4,6.1,3.6
Helsingfors Kajsaniemi,2024,1,3,04:00,-19.7,-17.2,Mulet (8/8),1020.0,81.0,0.0,19.6,53.6,5.1,3
Helsingfors Kajsaniemi,2024,1,3,05:00,-18.8,-16.3,Molnigt (7/8),1019.6,81.1,0.0,21.1,51.2,6.4,3.5
Helsingfors Kajsaniemi,2024,1,3,06:00,-18.0,-15.5,Mulet (8/8),1019.3,81.0,0.0,20.7,51.9,7.6,4.5
Helsingfors Kajsaniemi,2024,1,3,07:00,-18.0,-15.4,Molnigt (7/8),1019.0,80.3,0.0,20.6,56.9,9.6,6
Helsingfors Kajsaniemi,2024,1,3,08:00,-18.2,-15.4,Molnigt (7/8),1018.8,78.9,0.0,21,-,-,-
Helsingfors Kajsaniemi,2024,1,3,09:00,-18.2,-15.3,Mulet (8/8),1019.0,78.1,0.0,21.2,58.3,9.9,6.3
Helsingfors Kajsaniemi,2024,1,3,10:00,-18.0,-15.1,Mulet (8/8),1018.9,78.5,0.0,21.5,57.4,10.9,7.2
Helsingfors Kajsaniemi,2024,1,3,11:00,-18.1,-15.2,Mulet (8/8),1018.7,79.0,0.0,22,49.4,8.5,5.4
Helsingfors Kajsaniemi,2024,1,3,12:00,-17.9,-15.3,Mulet (8/8),1018.6,80.1,0.0,19.2,55.7,8.5,5.2
Helsingfors Kajsaniemi,2024,1,3,13:00,-18.5,-15.8,Mulet (8/8),1018.4,79.5,0.0,22,51.8,7.6,4.8
Helsingfors Kajsaniemi,2024,1,3,14:00,-18.5,-15.8,Mulet (8/8),1018.1,79.6,0.0,19,51.3,7.9,5
Helsingfors Kajsaniemi,2024,1,3,15:00,-18.9,-16.2,Molnigt (7/8),1017.7,79.5,0.0,20.5,51.3,8.1,5.3
Helsingfors Kajsaniemi,2024,1,3,16:00,-18.4,-15.8,Mulet (8/8),1017.3,80.0,0.0,21.7,50.4,8.4,5.4
Helsingfors Kajsaniemi,2024,1,3,17:00,-18.3,-15.6,Molnigt (7/8),1016.9,79.7,0.0,22,55.8,8.8,5.8
Helsingfors Kajsaniemi,2024,1,3,18:00,-19.4,-16.6,Mest klart (2/8),1016.8,79.5,0.0,22,53,8.7,5.5
Helsingfors Kajsaniemi,2024,1,3,19:00,-21.0,-18.1,Molnigt (7/8),1016.8,78.4,0.0,22.3,45.9,10.6,6.5
Helsingfors Kajsaniemi,2024,1,3,20:00,-20.3,-17.5,Mulet (8/8),1016.3,79.0,0.0,22.8,49.3,9.9,6.3
Helsingfors Kajsaniemi,2024,1,3,21:00,-20.5,-17.7,Mulet (8/8),1015.8,78.4,0.0,22.6,50,10,6.1
Helsingfors Kajsaniemi,2024,1,3,22:00,-20.6,-17.8,Mulet (8/8),1015.7,79.0,0.0,22.7,48.4,9.2,5.9
Helsingfors Kajsaniemi,2024,1,3,23:00,-20.6,-17.9,Mulet (8/8),1015.4,79.3,0.0,21.7,48.4,9.4,6.1
Helsingfors Kajsaniemi,2024,1,4,00:00,-20.4,-17.7,Mulet (8/8),1015.2,80.0,0.0,21.6,47.9,8.5,5
Helsingfors Kajsaniemi,2024,1,4,01:00,-20.3,-17.6,Mulet (8/8),1015.1,79.6,0.0,22.4,48.8,8.7,5.4
Helsingfors Kajsaniemi,2024,1,4,02:00,-20.1,-17.4,Mulet (8/8),1014.7,79.6,0.0,-,49.1,9.3,5.9
Helsingfors Kajsaniemi,2024,1,4,03:00,-19.6,-17.0,Mulet (8/8),1014.3,80.0,0.0,23,51.3,9.3,5.8
Helsingfors Kajsaniemi,2024,1,4,04:00,-19.6,-17.0,Mulet (8/8),1013.8,79.7,0.0,23,47.7,10.1,6.3
Helsingfors Kajsaniemi,2024,1,4,05:00,-20.3,-17.6,Mulet (8/8),1013.8,79.5,0.0,23,46.5,9.7,6
Helsingfors Kajsaniemi,2024,1,4,06:00,-21.0,-18.3,Mulet (8/8),1013.6,79.3,0.0,23,44.6,10,5.7
Helsingfors Kajsaniemi,2024,1,4,07:00,-21.1,-18.5,Mulet (8/8),1013.4,80.2,0.0,23,43.2,9.2,5.6
Helsingfors Kajsaniemi,2024,1,4,08:00,-20.6,-18.1,Mulet (8/8),1013.3,80.0,0.0,23,42.2,10,6.1
Helsingfors Kajsaniemi,2024,1,4,09:00,-20.8,-18.2,Mulet (8/8),1013.3,80.0,0.0,23,44.6,9.7,6
Helsingfors Kajsaniemi,2024,1,4,10:00,-20.8,-18.1,Mulet (8/8),1013.3,79.3,0.0,21.9,46.6,10.6,6.5
